Probe Set ID,Gene Symbol
1007_s_at,DDR1
1053_at,RFC2
117_at,HSPA6
121_at,PAX8
1255_g_at,GUCA1A
1294_at,UBA7
1316_at,THRA
1320_at,PTPN21
1405_i_at,CCL5
1431_at,CYP2E1
1438_at,EPHB3
1487_at,ESRRA
1494_f_at,CYP2A6
1552256_a_at,SCARB1
1552257_a_at,TTLL12
1552258_at,NCRNA00152
1552261_at,WFDC2
1552263_at,MAPK1
1552264_a_at,MAPK1
1552266_at,ADAM32
1552269_at,SPATA17
1552271_at,PRR22
1552272_a_at,PRR22
1552274_at,PXK
1552275_s_at,PXK
1552276_a_at,VPS18
1552277_a_at,C9orf30
1552278_a_at,SLC46A1
1552279_a_at,SLC46A1
1552280_at,TIMD4
1552281_at,SLC39A5
1552283_s_at,ZDHHC11
1552286_at,ATP6V1E2
1552287_s_at,AFG3L1P
1552288_at,CILP2
1552289_a_at,CILP2
1552291_at,PIGX
1552293_at,TMEM196
1552295_a_at,SLC39A13
1552296_at,BEST4
1552299_at,AKD1
1552301_a_at,CORO6
1552302_at,TMEM106A
1552303_a_at,TMEM106A
1552304_at,ALG10
1552306_at,ALG10
1552307_a_at,TTC39C
1552309_a_at,NEXN
1552310_at,C15orf40
1552311_a_at,RAX2
1552312_a_at,MFAP3
1552314_a_at,EYA3
1552315_at,GIMAP1
1552316_a_at,GIMAP1
1552318_at,GIMAP1
1552319_a_at,KLK8
1552320_a_at,CCDC65
1552321_a_at,CCDC65
1552322_at,FAM122C
1552323_s_at,FAM122C
1552325_at,CCDC11
1552326_a_at,CCDC11
1552327_at,ARMCX4
1552329_at,RBBP6
1552330_at,CENPBD1
1552332_at,TRIOBP
1552334_at,TRIOBP
1552335_at,CATSPER1
1552337_s_at,HOXD4
1552338_at,GSC
1552340_at,SP7
1552343_s_at,PDE7A
1552344_s_at,CNOT7
1552347_at,CRYZL1
1552348_at,PRSS33
1552349_a_at,PRSS33
1552354_at,C19orf26
1552355_s_at,C19orf26
1552359_at,C8orf45
1552360_a_at,TIRAP
1552362_a_at,LEAP2
1552364_s_at,MSI2
1552365_at,SCIN
1552367_a_at,SCIN
1552368_at,CTCFL
1552370_at,C4orf33
1552372_at,C4orf33
1552373_s_at,C4orf33
1552375_at,ZNF333
1552377_s_at,FAM18B2
1552378_s_at,RDH10
1552379_at,RDH10
1552381_at,SRSF12
1552383_at,FAM71A
1552384_a_at,FAM71A
1552386_at,GAPT
1552388_at,FLJ30901
1552389_at,C8orf47
1552390_a_at,C8orf47
1552391_at,C1orf65
1552393_at,ENTHD1
1552394_a_at,ENTHD1
1552395_at,TSSK3
1552396_at,WFDC6
1552398_a_at,CLEC12A
1552399_a_at,BRF1
1552400_a_at,C15orf27
1552401_a_at,NCRNA00258
1552402_at,CALML6
1552405_at,NLRP5
1552408_at,ODF4
1552409_a_at,ODF4
1552410_at,CLEC4F
1552411_at,DEFB106A /// DEFB106B
1552412_a_at,DEFB106A /// DEFB106B
1552414_at,WFDC9
1552415_a_at,WFDC9
1552417_a_at,NEDD1
1552418_at,TTLL10
1552419_s_at,TTLL10
1552421_a_at,CALR3
1552422_at,C10orf25
1552423_at,ETV3
1552424_at,KLHL10
1552425_a_at,KLHL10
1552426_a_at,TM2D3
1552427_at,ZNF485
1552430_at,WDR17
1552432_at,MFSD6L
1552436_a_at,CDH23
1552438_a_at,ANKAR
1552439_s_at,MEGF11
1552440_at,GPR182
1552445_a_at,ESX1
1552448_a_at,C8orf12
1552449_a_at,SCGB1C1
1552450_a_at,DNAJC5G
1552452_at,WDR88
1552453_a_at,WDR88
1552455_at,PRUNE2
1552456_a_at,MBD3L2
1552457_a_at,ADAMTSL1
1552458_at,MBD3L1
1552459_a_at,MBD3L1
1552461_at,FAM46D
1552463_at,SERPINB11
1552466_x_at,NCRNA00161
1552467_at,DSCR10
1552468_a_at,DSCR10
1552470_a_at,ABHD11
1552472_a_at,ACAP2
